['Lancaster Amish Four Grain Ale', '12oz Btl', '1.49', '7.99', '31.96']
['Lancaster Hop Hog IPA', '12oz Btl', '1.49', '7.99', '31.96']
['Lancaster Milk Stout', '12oz Btl', '1.49', '7.99', '31.96']
['Lancaster Oktoberfest', '12oz Btl', '', 'Seasonal', '']
['Lancaster Strawberry Wheat', '12oz Btl', '1.49', '7.99', '31.96']
['Lancaster Variety Pack', '12oz Btl', '', '16.99', '33.98']
['Lancaster Winter Warmer', '12oz Btl', '', 'Seasonal', '']
['Landshark Lager (12pk-11.99)', '12oz Btl', '1.49', '5.99', '23.96']
['Laughing Dog AlphaDog Imperial IPA', '22oz Btl', '4.99', '', '']
['Laughing Dog CSB', '22oz Btl', '4.99', '', '']
['Laughing Dog Devil Dog', '22oz Btl', '6.99', '', '']
['Laughing Dog DogZilla Black IPA', '22oz Btl', '4.99', '', '']
['Laughing Dog Rocket Dog Rye IPA', '22oz Btl', '4.99', '', '']
['Laughing Dog The Dogfather', '22oz Btl', '6.99', '', '']
['Leavenworth Boulder Bend Dunkel', '12oz Btl', '1.99', '7.99', '31.96']
['Leavenworth Whistling Pig Hefe', '12oz Btl', '1.99', '7.99', '31.96']
['Leinenkugel\xa1\xa6s Berry Weiss', '12oz Btl', '1.49', '7.49', '29.96']
['Leinenkugel\xa1\xa6s Classic Amber', '12oz Btl', '1.49', '7.49', '29.96']
['Leinenkugel\xa1\xa6s Fireside Nut Brown', '12oz Btl', '1.49', '7.49', '29.96']
['Leinenkugel\xa1\xa6s Honey Weiss', '12oz Btl', '1.49', '7.49', '29.96']
['Leinenkugel\xa1\xa6s Oktoberfest', '12oz Btl', '', 'Seasonal', '']
['Leinenkugel\xa1\xa6s Red Lager', '12oz Btl', '1.49', '7.49', '29.96']
['Leinenkugel\xa1\xa6s Sunset Wheat', '12oz Btl', '1.49', '7.49', '29.96']
['Lionshead Pilsner', '12oz Can', '', '7.99-12pk', '15.98']
['Long Trail Ale', '12oz Btl', '1.49', '7.99', '31.96']
